Número de registro;Comunidad autónoma;Provincia;Localidad;Denominación;Estado de la fosa;Tipo de fosa;Estado actual;Ubicación precisa
2078/2010 HUEL;Andalucía;Huelva;Corteconcepción;Fosa en cementerio de Corteconcepción;NO EXHUMADA, PERO DIGNIFICADA;-;11;N
2079/2010 HUEL;Andalucía;Huelva;Corteconcepción;Fosa en el cortijo 'La Puente';DESAPARECIDA;-;5;N
208/2009 ASTU;Principado de Asturias;Asturias;Piloña;Fosa Antrialgo;NO INTERVENIDA;FUSILAMIENTO (OPCION A EXTINGUIR);-;N
2080/2010 HUEL;Andalucía;Huelva;Cortegana;Fosas en el cementerio de Cortegana;NO EXHUMADA, PERO DIGNIFICADA;-;11;N
2081/2010 HUEL;Andalucía;Huelva;Cumbres Mayores;Fosa en cementerio de Cumbres Mayores;NO EXHUMADA, PERO DIGNIFICADA;-;11;N
2082/2010 HUEL;Andalucía;Huelva;Cumbres de San Bartolomé;Fosa en cementerio de Cumbres de San Bartolomé;NO EXHUMADA, PERO DIGNIFICADA;-;11;N
2083/2010 HUEL;Andalucía;Huelva;Encinasola;Fosa en cementerio de Encinasola;NO INTERVENIDA;-;-;N
2084/2010 HUEL;Andalucía;Huelva;Fuenteheridos;Fosa en cementerio de Fuenteheridos;DESAPARECIDA, PERO DIGNIFICADA;-;11;N
2085/2010 HUEL;Andalucía;Huelva;Higuera de la Sierra;Fosa en el cementerio viejo de Higuera;NO INTERVENIDA;-;-;N
2086/2010 HUEL;Andalucía;Huelva;Jabugo;Fosa en cementerio de Jabugo;DESAPARECIDA;-;1;N
2087/2010 HUEL;Andalucía;Huelva;Nava, La;Fosa en cementerio de La Nava;EXHUMADA TOTALMENTE Y DIGNIFICADA;-;11;N
2088/2010 HUEL;Andalucía;Huelva;Linares de la Sierra;Fosa en cementerio de Linares de la Sierra;NO INTERVENIDA;-;-;N
2089/2010 HUEL;Andalucía;Huelva;Marines, Los;Fosa en cementerio de Los Marines;DESAPARECIDA;-;1;N
209/2009 ASTU;Principado de Asturias;Asturias;Piloña;Collao La Postal (Montes de Riofabar);NO INTERVENIDA;FUSILAMIENTO (OPCION A EXTINGUIR);-;N
2090/2010 HUEL;Andalucía;Huelva;Puerto Moral;Fosa en cementerio de Puerto Moral;DESAPARECIDA;-;1;N
